PY,AU,TI,SO,VL,IS,DI,Z9,citesPerYear
2008,"Barber, Nigel",Cross-National Variation in the Motivation for Uncommitted Sex: The Role of Disease and Social Risks,EVOLUTIONARY PSYCHOLOGY,6,2,NA,5,0.38461538461538464
2008,"Elyasiani, Elyas; Zhao, Wanli",International interdependence of an emerging market: the case of Iran,APPLIED ECONOMICS,40,4,10.1080/00036840600707027,5,0.38461538461538464
2005,"Ying, LG",From physical to general spaces: A spatial econometric analysis of cross-country economic growth and institutions,ANNALS OF REGIONAL SCIENCE,39,2,10.1007/s00168-004-0213-x,6,0.375
2013,"Naydenov, Alexey S.; Krivenko, Ilya A.",Influence of administrative barriers and institutional environment on the dynamics of shadow economy,Tomsk State University Journal,NA,377,NA,3,0.375
2013,"Madsen, Jakob B.; Yan, Eric",The first Great Divergence and the evolution of cross-country income inequality during the last millennium: the role of institutions and culture,APPLIED ECONOMICS,45,33,10.1080/00036846.2013.795283,3,0.375
2013,"Dutta, Nabamita; Roy, Sanjukta",The changing face of culture: gauging the impact of a free media,EUROPEAN JOURNAL OF LAW AND ECONOMICS,36,1,10.1007/s10657-011-9261-8,3,0.375
2013,"Sanderson, Matthew R.","Does Immigration Promote Long-Term Economic Development? A Global and Regional Cross-National Analysis, 1965-2005",JOURNAL OF ETHNIC AND MIGRATION STUDIES,39,1,10.1080/1369183X.2013.723244,3,0.375
2010,"Chalise, Hom Nath",Social Support and its Correlation with Loneliness and Subjective Well-being: A Cross-cultural Study of Older Nepalese Adults,Asian Social Work and Policy Review,4,1,NA,4,0.36363636363636365
2010,"Totev, Stoyan; Sariiski, Grigor",Industrial Delocalization in an Integrating Europe A Survey of Enterprises in the Footwear Industry,EASTERN EUROPEAN ECONOMICS,48,1,10.2753/EEE0012-8775480103,4,0.36363636363636365
2007,"Dawson, John W.",The empirical institutions-growth literature: Is something amiss at the top?,ECON JOURNAL WATCH,4,2,NA,5,0.35714285714285715
1984,"Cutright, P; Adams, R","Economic dependency and fertility in Asia and Latin America, 1960-1980.",Comparative social research,7,NA,NA,13,0.35135135135135137
1998,"Yang, PQ",The demand for immigration to the United States,POPULATION AND ENVIRONMENT,19,4,10.1023/A:1024604322354,8,0.34782608695652173
1994,"LEVINSON, NS",INTERORGANIZATIONAL INFORMATION-SYSTEMS - NEW APPROACHES TO GLOBAL ECONOMIC-DEVELOPMENT,INFORMATION & MANAGEMENT,26,5,10.1016/0378-7206(94)90064-7,9,0.3333333333333333
1997,"Frey, RS; Song, FX",Human well-being in Chinese cities,SOCIAL INDICATORS RESEARCH,42,1,10.1023/A:1006890513754,8,0.3333333333333333
2000,"Kick, E; Davis, B; Lehtinen, M; Wang, LY",Family and economic growth - A world-system approach and a cross-national analysis,INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,41,2,NA,7,0.3333333333333333
2006,"Wirl, Franz",Pollution thresholds under uncertainty,ENVIRONMENT AND DEVELOPMENT ECONOMICS,11,NA,10.1017/S1355770X06003068,5,0.3333333333333333
2006,"Tsai, MC",Macro-structural determinants of political freedom in developing countries: A cross-national analysis,SOCIAL INDICATORS RESEARCH,76,2,10.1007/s11205-005-0207-9,5,0.3333333333333333
2009,"Huang, Chun-Yao; Chang, Shin-Shin",Commonality of Web Site Visiting Among Countries,JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,60,6,10.1002/asi.21055,4,0.3333333333333333
2012,"Basu, Parantap; Bhattarai, Keshab","Government Bias in Education, Schooling Attainment, and Long-run Growth",SOUTHERN ECONOMIC JOURNAL,79,1,10.4284/0038-4038-79.1.127,3,0.3333333333333333
2015,"Coyne, Christopher J.; Williamson, Claudia R.",Foreign Aid and the Culture of Contracting,EASTERN ECONOMIC JOURNAL,41,1,10.1057/eej.2013.44,2,0.3333333333333333
2015,"Bonnal, Michael","The 'amelioration' of child labor, 'a modest proposal'",JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,24,5,10.1080/09638199.2014.950685,2,0.3333333333333333
2015,"Isukul, Araniyar C.; Chizea, John J.",Environmental Factors Influencing Corporate Governance: The Nigerian Reality,SAGE OPEN,5,2,10.1177/2158244015581380,2,0.3333333333333333
2015,"Harger, Kaitlyn; Hall, Joshua C.",Obedience and income levels,APPLIED ECONOMICS LETTERS,22,2,10.1080/13504851.2014.927563,2,0.3333333333333333
2015,"Marsh, Robert M.",Determinants of Income Inequality in the Early Twenty-First Century: A Cross-National Study,COMPARATIVE SOCIOLOGY,14,2,10.1163/15691330-12341344,2,0.3333333333333333
2015,"Misra, Kaustav; Memili, Esra; Welsh, Dianne H. B.; Reddy, Surender; Sype, Gail E.",Cross-country technology gap in Latin America Growth accounting and non-parametric approaches,CROSS CULTURAL MANAGEMENT-AN INTERNATIONAL JOURNAL,22,4,10.1108/CCM-04-2014-0043,2,0.3333333333333333
2018,"Akindinova, Natalia, V; Chernyaysky, Andrei, V; Chepel, Alena A.",Cross-country analysis of public expenditures structure and efficiency,VOPROSY EKONOMIKI,NA,12,NA,1,0.3333333333333333
2018,"Chon, Don Soo","Democracy, Autocracy, and Direction of Lethal Violence: Homicide and Suicide",HOMICIDE STUDIES,22,4,10.1177/1088767918775465,1,0.3333333333333333
2018,"Lee, Ming-Hsuan; Lio, Mon-Chi",Can information and communication technology promote venture creation? A cross-country study using an instrument variable approach,INFORMATION DEVELOPMENT,34,4,10.1177/0266666917697368,1,0.3333333333333333
2018,"Semyonov, Moshe",Development and Gender-Linked Economic Inequality in the Era of Globalization,SOCIOLOGY OF DEVELOPMENT,4,3,10.1525/sod.2018.4.3.304,1,0.3333333333333333
2018,"Schwadel, Philip",Cross-national variation in the social origins and religious consequences of religious non-affiliation,SOCIAL SCIENCE RESEARCH,70,NA,10.1016/j.ssresearch.2017.12.002,1,0.3333333333333333
2018,"Khalilov, Latif; Chae-Deug, Yi",Determinants of Economic Development in the Former Soviet Union and Central Eastern European Countries,The Journal of International Trade & Commerce,14,3,10.16980/jitc.14.3.201806.135,1,0.3333333333333333
2018,"Krinichansky, K.; Fatkin, A.","Studying the ""vanishing effect"" of the impact of financial development on economic growth: From the cross-country to the subnational scale",Applied Econometrics,NA,3,NA,1,0.3333333333333333
2018,"Muftakhova, Almira; Kozyreva, Larisa",Housing Stratification in the European Union,JOURNAL OF ECONOMIC SOCIOLOGY-EKONOMICHESKAYA SOTSIOLOGIYA,19,1,10.17323/1726-3247-2018-1-117-144,1,0.3333333333333333
2018,"VARNAVSKIY, Vladimir G.",The US Role in the World Manufacturing and Trade as a Global Issue,"Kontury global'nykh transformatsii: politika, ekonomika, pravo",11,2,NA,1,0.3333333333333333
1999,"Kaynak, E","Cross-national and cross-cultural issues in food marketing. Past, present and future",JOURNAL OF INTERNATIONAL FOOD & AGRIBUSINESS MARKETING,10,4,10.1300/J066v10n03_01,7,0.3181818181818182
2002,"Cetorelli, N",Could Prometheus be bound again? A contribution to the convergence controversy,JOURNAL OF ECONOMIC DYNAMICS & CONTROL,27,1,10.1016/S0165-1889(01)00024-0,6,0.3157894736842105
2002,"English, J",Managing cultural differences to improve industrial efficiency,BUILDING RESEARCH AND INFORMATION,30,3,10.1080/09613210110114037,6,0.3157894736842105
2005,"Cox, K; Townsend, A",Institutions and mediating inward investment in England and the USA,REGIONAL STUDIES,39,4,10.1080/00343400500128671,5,0.3125
1976,"DELLAVALLE, PA; OGUCHI, N","DISTRIBUTION, AGGREGATE CONSUMPTION FUNCTION, AND LEVEL OF ECONOMIC-DEVELOPMENT - SOME CROSS-COUNTRY RESULTS",JOURNAL OF POLITICAL ECONOMY,84,6,10.1086/260517,14,0.3111111111111111
1992,"BAKER, PT; GARRUTO, RM",HEALTH TRANSITION - EXAMPLES FROM THE WESTERN PACIFIC,HUMAN BIOLOGY,64,6,NA,9,0.3103448275862069
2008,"Iimi, Atsushi; Ojima, Yasuhisa",Complementarities between grants and loans,JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,22,1,10.1016/j.jjie.2007.03.001,4,0.3076923076923077
1975,"COONEY, RS",FEMALE PROFESSIONAL WORK OPPORTUNITIES - CROSS-NATIONAL STUDY,DEMOGRAPHY,12,1,10.2307/2060736,14,0.30434782608695654
1998,"Schooler, C","History, social structure and individualism a cross-cultural perspective on Japan",INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,39,1,10.1177/002071529803900104,7,0.30434782608695654
1988,"KAMO, Y",A NOTE ON ELDERLY LIVING ARRANGEMENTS IN JAPAN AND THE UNITED-STATES,RESEARCH ON AGING,10,2,10.1177/0164027588102009,10,0.30303030303030304
1991,"MEYER, PB",MEANING AND ACTION IN LOCAL ECONOMIC-DEVELOPMENT STRATEGIES - A COMPARISON OF POLICIES IN BRITAIN AND THE UNITED-STATES,ENVIRONMENT AND PLANNING C-GOVERNMENT AND POLICY,9,4,10.1068/c090383,9,0.3
1991,"Abeysinghe, T",A seasonal analysis of Chinese births.,Journal of applied statistics,18,2,10.1080/02664769100000021,9,0.3
1997,"Williams, CC",Rethinking the role of the retail sector in economic development,SERVICE INDUSTRIES JOURNAL,17,2,10.1080/02642069700000011,7,0.2916666666666667
2014,"Lopert, Ruth; Viney, Rosalie",Revolution then evolution: the advance of health economic evaluation in Australia.,"Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen",108,7,10.1016/j.zefq.2014.08.020,2,0.2857142857142857
1996,"Yip, CK; Zhang, JX",Population growth and economic growth: A reconsideration,ECONOMICS LETTERS,52,3,10.1016/S0165-1765(96)00876-2,7,0.28
2010,"Hallagan, William",Corruption in dictatorships,ECONOMICS OF GOVERNANCE,11,1,10.1007/s10101-009-0066-y,3,0.2727272727272727
2010,"Whitford, Andrew B.; Smith, Helen; Mandawat, Anant",Disparities in access to clean water and sanitation: institutional causes,WATER POLICY,12,NA,10.2166/wp.2010.019,3,0.2727272727272727
1991,"GERDTHAM, UG; JONSSON, B",HEALTH-CARE EXPENDITURE IN SWEDEN - AN INTERNATIONAL COMPARISON,HEALTH POLICY,19,44257,10.1016/0168-8510(91)90009-M,8,0.26666666666666666
2006,"Cavalcanti Ferreira, Pedro; Trejos, Alberto",On the output effects of barriers to trade,INTERNATIONAL ECONOMIC REVIEW,47,4,10.1111/j.1468-2354.2006.00415.x,4,0.26666666666666666
2006,"Tsai, Ming-Chang",Economic and non-economic determinants of poverty in developing countries: Competing theories and empirical evidence,CANADIAN JOURNAL OF DEVELOPMENT STUDIES-REVUE CANADIENNE D ETUDES DU DEVELOPPEMENT,27,3,10.1080/02255189.2006.9669148,4,0.26666666666666666
1993,"EVANS, MDR; SARAIVA, HU",WOMENS LABOR-FORCE PARTICIPATION AND SOCIOECONOMIC-DEVELOPMENT - INFLUENCES OF LOCAL CONTEXT AND INDIVIDUAL CHARACTERISTICS IN BRAZIL,BRITISH JOURNAL OF SOCIOLOGY,44,1,10.2307/591680,7,0.25
2001,"Cutright, P; Fernquist, RM","The age structure of male suicide rates: Measurement and analysis of 20 developed countries, 1955-1994",SOCIAL SCIENCE RESEARCH,30,4,10.1006/ssre.2001.0717,5,0.25
2005,"Bornschier, V; Herkenrath, M; Konig, C",The double dividend of expanding education for development,INTERNATIONAL SOCIOLOGY,20,4,10.1177/0268580905058329,4,0.25
2009,"Altman, David; Castiglioni, Rossana",Democratic Quality and Human Development in Latin America: 1972-2001,CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,42,2,10.1017/S0008423909090301,3,0.25
2009,"Mansyur, Carol Leler; Amick, Benjamin C., III; Harrist, Ronald B.; Franzini, Luisa; Roberts, Robert E.","THE CULTURAL PRODUCTION OF HEALTH INEQUALITIES: A CROSS-SECTIONAL, MULTILEVEL EXAMINATION OF 52 COUNTRIES",INTERNATIONAL JOURNAL OF HEALTH SERVICES,39,2,10.2190/HS.39.2.e,3,0.25
2017,"Heinemann, Alexander",Efficient estimation of factor models with time and cross-sectional dependence,JOURNAL OF APPLIED ECONOMETRICS,32,6,10.1002/jae.2571,1,0.25
2017,"Ding, Qi; Wang, Yali; Chen, Xinjun; Chen, Yong",Effects of economics and demographics on global fisheries sustainability,CONSERVATION BIOLOGY,31,4,10.1111/cobi.12873,1,0.25
2017,"Lv, Zhike",Cross-Country Evidence on the Link Between Intelligence and the Environmental Efficiency of Well-Being Zhike Lv,JOURNAL OF INDIVIDUAL DIFFERENCES,38,2,10.1027/1614-0001/a000229,1,0.25
2017,"Anyzova, Petra",Returns to Tertiary Education in Skills and Wages: A Cross Country Comparison,SOCIOLOGIA,49,1,NA,1,0.25
2017,"Karmowska, Grazyna",DEVELOPMENT OF THE EU SOCIETIES AND SOCIAL PROGRESS,EKONOMIA I SRODOWISKO-ECONOMICS AND ENVIRONMENT,4,63,NA,1,0.25
2017,"Kim, Sang-Wook",Incompatibility between Objective and Subjective Body Shapes: A Case in Korea,Journal of Korean Official Statistics,22,4,NA,1,0.25
2017,"Korotayev, Andrey; Bilyuga, Stanislav; Shishkina, Alisa","GDP PER CAPITA, INTENSITY OF ANTI-GOVERNMENT DEMONSTRATIONS AND LEVEL OF EDUCATION Cross-national Analysis",POLITEIA-JOURNAL OF POLITICAL THEORY POLITICAL PHILOSOPHY AND SOCIOLOGY OF POLITICS,84,1,NA,1,0.25
2017,"Leksyutina, Yana, V",LEADERSHIP IN BRICS: FORECASTS AND REALITY,MIROVAYA EKONOMIKA I MEZHDUNARODNYE OTNOSHENIYA,61,5,10.20542/0131-2227-2017-61-5-25-33,1,0.25
2017,"Sadovskaya, Valerya O.; Shmat, Vladimir V.","PARADOX OF ""RESOURCE CURSE"": CROSS-COUNTRY ANALYSIS",MIROVAYA EKONOMIKA I MEZHDUNARODNYE OTNOSHENIYA,61,3,10.20542/0131-2227-2017-61-3-25-35,1,0.25
2017,"Yana, V. LEKSYUTINA","LEADERSHIP IN BRICS: FORECASTS AND REALITY (World Economy and International Relations, 2017, vol. 61, no. 5, pp. 25-33) Received 16.11.2016.",Mirovaya ekonomika i mezhdunarodnye otnosheniya,NA,5,10.20542/0131-2227-2017-61-5-25-33,1,0.25
1984,"ANNEZ, P; WHEATON, WC",ECONOMIC-DEVELOPMENT AND THE HOUSING SECTOR - A CROSS-NATIONAL MODEL,ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,32,4,10.1086/451424,9,0.24324324324324326
1992,"KEYFITZ, N",7 WAYS OF CAUSING THE LESS-DEVELOPED-COUNTRIES POPULATION PROBLEM TO DISAPPEAR - IN THEORY,EUROPEAN JOURNAL OF POPULATION,8,2,10.1007/BF01797550,7,0.2413793103448276
2008,"Chaudhuri, Kausik; Maitra, Pushkar","School attainment, completion, and economic development: A cross-country analysis",REVIEW OF DEVELOPMENT ECONOMICS,12,1,10.1111/j.1467-9361.2008.00430.x,3,0.23076923076923078
2008,"Guran, Mehmet Cahit; Tosun, Mustafa Umur",A cross-country analysis of public sector interventions' efficiency,EKONOMICKY CASOPIS,56,2,NA,3,0.23076923076923078
1999,"Dehghan, F; Uribe, GV",Analysing Mexican population concentration: A model with empirical evidence,URBAN STUDIES,36,8,10.1080/0042098992980,5,0.22727272727272727
1999,"San, PB; Ross, JA; Phuong, NL; Vinh, ND",Measuring family planning program effort at the provincial level: A Vietnam application,INTERNATIONAL FAMILY PLANNING PERSPECTIVES,25,1,10.2307/2991895,5,0.22727272727272727
2012,"Lautier, Marc; Moreau, François","An empirical criticism of the ""FDI development"" convention",Revista de Economia Contemporânea,16,3,NA,2,0.2222222222222222
2012,"Mariani, Fabio",The economic value of virtue,JOURNAL OF ECONOMIC GROWTH,17,4,10.1007/s10887-012-9084-7,2,0.2222222222222222
1987,"DEBRUN, S; ELLING, RH",CUBA AND THE PHILIPPINES - CONTRASTING CASES IN WORLD-SYSTEM ANALYSIS,INTERNATIONAL JOURNAL OF HEALTH SERVICES,17,4,10.2190/R7HK-HKCQ-2PAD-HQN2,7,0.20588235294117646
2006,"Tiruneh, G",Regime type and economic growth in Africa: A cross-national analysis,SOCIAL SCIENCE JOURNAL,43,1,10.1016/j.soscij.2005.12.001,3,0.2
2011,"Lofgren, Hans; Benner, Mats",A global knowledge economy? Biopolitical strategies in India and the European Union,JOURNAL OF SOCIOLOGY,47,2,10.1177/1440783310386832,2,0.2
2011,"Mau, Steffen; Mewes, Jan; Schoeneck, Nadine M.","The production of social security. Employment security, income maintenance, and health provision in cross-national perspective",BERLINER JOURNAL FUR SOZIOLOGIE,21,2,10.1007/s11609-011-0157-9,2,0.2
2016,"Filculescu, Adina",The heterogeneous landscape of innovation in female led-businesses -cross-country comparisons,MANAGEMENT & MARKETING-CHALLENGES FOR THE KNOWLEDGE SOCIETY,11,4,10.1515/mmcks-2016-0019,1,0.2
2016,"Menaldo, Victor Alexander",The fiscal roots of urban bias,BUSINESS AND POLITICS,18,4,10.1515/bap-2016-0008,1,0.2
2016,"Benson, Isabel N.",THE IMPACT OF INSTITUTIONAL ENVIRONMENT ON WEALTH AND ECONOMIC DEVELOPMENT: CROSS-COUNTRY COMPARISONS,Vestnik Sankt-Peterburgskogo universiteta. Seriya 5. Ekonomika,NA,3,10.21638/11701/spbu05.2016.303,1,0.2
2016,"Haerpfer, C.; Kizilova, K.",THE WORLD'S LARGEST SOCIAL SCIENCE INFRASTRUCTURE AND ACADEMIC SURVEY RESEARCH PROGRAM: THE WORLD VALUES SURVEY IN THE NEW INDEPENDENT STATES,RUDN JOURNAL OF SOCIOLOGY-VESTNIK ROSSIISKOGO UNIVERSITETA DRUZHBY NARODOV SERIYA SOTSIOLOGIYA,16,4,NA,1,0.2
2016,"Kick, Edward; Tellez, Maria Balcazar; Thompson, Gretchen; Classen, John","World geography and power, national capitals, and inequality as cross-national causes of food security and environmental outcomes",AIMS AGRICULTURE AND FOOD,1,4,10.3934/agrfood.2016.4.419,1,0.2
2016,"Sridhar, Kala Seetharam",Solid Waste Management in Asia Pacific: What Explains Its Coverage?,PUBLIC WORKS MANAGEMENT & POLICY,21,1,10.1177/1087724X15570642,1,0.2
1995,"Fu, X; Heaton, T B",A cross-national analysis of family and household structure.,International journal of sociology of the family,25,2,NA,5,0.19230769230769232
1984,"Bollen, K A; Entwisle, B",Economic development and fertility:  a note on functional form specification.,Comparative social research,7,NA,NA,7,0.1891891891891892
1994,"Daatland, S O",Recent trends and future prospects for the elderly in Scandinavia.,Journal of aging & social policy,6,44228,10.1300/J031v06n01_12,5,0.18518518518518517
2010,"David, Antonio C.; Li, Carmen A.","EXPLORING THE LINKS BETWEEN HIV/AIDS, SOCIAL CAPITAL AND DEVELOPMENT",JOURNAL OF INTERNATIONAL DEVELOPMENT,22,7,10.1002/jid.1707,2,0.18181818181818182
2010,"Becsi, Zsolt",Does Wealth Imply Secularization and Longevity?,JOURNAL OF MONEY CREDIT AND BANKING,42,1,10.1111/j.1538-4616.2009.00284.x,2,0.18181818181818182
2010,"Aharonovitz, Gilad D.; Miller, James D.",Are Net FDI Flows and Reversals of Capital Flows a Result of Output Growth?,B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,10,1,NA,2,0.18181818181818182
1993,"HITZHUSEN, FJ",LAND DEGRADATION AND SUSTAINABILITY OF AGRICULTURAL GROWTH - SOME ECONOMIC CONCEPTS AND EVIDENCE FROM SELECTED DEVELOPING-COUNTRIES,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,46,44287,10.1016/0167-8809(93)90014-G,5,0.17857142857142858
1987,"Lempert, D",A demographic-economic explanation of political stability: Mauritius as a microcosm.,Eastern Africa economic review,3,1,NA,6,0.17647058823529413
1998,"Perritt, HH; Clark, RR","Chinese economic development, rule of law, and the Internet",GOVERNMENT INFORMATION QUARTERLY,15,4,10.1016/S0740-624X(98)90033-8,4,0.17391304347826086
1991,"ZHAO, FK; HITZHUSEN, F; CHERN, WS",IMPACT AND IMPLICATIONS OF PRICE POLICY AND LAND DEGRADATION ON AGRICULTURAL GROWTH IN DEVELOPING-COUNTRIES,AGRICULTURAL ECONOMICS,5,4,10.1016/0169-5150(91)90025-G,5,0.16666666666666666
2003,"Mutangadura, GB; Lamb, VL",Variations in rates of primary school access and enrolements in sub-Saharan Africa: a pooled cross-country time series analysis,INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,23,4,10.1016/S0738-0593(02)00060-3,3,0.16666666666666666
2003,"Klasen, S","Low schooling for girls, slower growth for all? Cross-country evidence on the effect of gender inequality in education on economic development (vol 16, pg 345, 2002)",WORLD BANK ECONOMIC REVIEW,17,2,NA,3,0.16666666666666666
2015,"Caudell, Mark A.","The Interplay of Mortality, Economics, and Female Empowerment in Fertility Transformations: A Fixed Effects Analysis Across 40 Years and 167 Countries",CROSS-CULTURAL RESEARCH,49,4,10.1177/1069397115591152,1,0.16666666666666666
2015,"Ong, Corinne",Choice of Energy Paths: Its Implications for Rural Energy Poverty in Less Developed Countries,SOCIETY & NATURAL RESOURCES,28,7,10.1080/08941920.2015.1020583,1,0.16666666666666666
2015,"Czegledi, Pal","Are both dimensions of property rights ""efficient""?",EUROPEAN JOURNAL OF COMPARATIVE ECONOMICS,12,1,NA,1,0.16666666666666666
2015,"Yamarik, Steven; Ghosh, Sucharita",Broad versus regional integration: what matters more for economic development?,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,24,1,10.1080/09638199.2013.868024,1,0.16666666666666666
2015,"Rachisan, P. R.; Bota-Avram, C.; Raluca, I.; Grosanu, A.",ASSESSING THE IMPACT OF CORPORATE GOVERNANCE AND ECONOMIC DEVELOPMENT ON ENVIRONMENTAL PERFORMANCE: EMPIRICAL EVIDENCE FROM CROSS-COUNTRY SURVEY,JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY,16,3,NA,1,0.16666666666666666
1995,"OAKES, J","CLIMATE AND CULTURAL BARRIERS TO NORTHERN ECONOMIC-DEVELOPMENT - A CASE-STUDY FROM BROUGHTON ISLAND, NWT, CANADA",CLIMATE RESEARCH,5,1,10.3354/cr005091,4,0.15384615384615385
2014,"Khokhlov, VIgor Igorevich",Supranational Developments in the European Union: Changeable Balance of the Public Opinion,Mirovaya ekonomika i mezhdunarodnye otnosheniya,NA,3,NA,1,0.14285714285714285
2014,"LUKASHIN, Yurii Pavlovich; RAKHLINA, Lyudmila Il'inichna",Long-Term Forecasting of World Economy,Mirovaya ekonomika i mezhdunarodnye otnosheniya,NA,12,NA,1,0.14285714285714285
1999,"Pillai, VK; Wang, GZ",Social structural model of women's reproductive rights: A cross-national study of developing countries,CANADIAN JOURNAL OF SOCIOLOGY-CAHIERS CANADIENS DE SOCIOLOGIE,24,2,10.2307/3341731,3,0.13636363636363635
1984,"FISHER, J",DEVELOPMENT FROM BELOW - NEIGHBORHOOD IMPROVEMENT ASSOCIATIONS IN THE LATIN-AMERICAN SQUATTER SETTLEMENTS,STUDIES IN COMPARATIVE INTERNATIONAL DEVELOPMENT,19,1,10.1007/BF02686504,5,0.13513513513513514
2013,"Tausch, Arno","Inequality, Migration, and ‘Smart’ Survival Performance",Social Evolution & History,12,2,NA,1,0.125
2013,"Hagen, Tobias",The Impact of National Financial Regulation on Macroeconomic and Fiscal Performance after the 2007 Financial Shock - Econometric Analyses Based on Cross-Country Data,ECONOMICS-THE OPEN ACCESS OPEN-ASSESSMENT E-JOURNAL,7,NA,10.5018/economics-ejournal.ja.2013-33,1,0.125
2013,"Robbins, Blaine","Cooperation without Culture? The Null Effect of Generalized Trust on Intentional Homicide: A Cross-National Panel Analysis, 1995-2009",PLOS ONE,8,3,10.1371/journal.pone.0059511,1,0.125
2013,"Klistorin, V.I.",Russia in 1913,EKO,NA,12,NA,1,0.125
1988,"BRANCO, KJ; WILLIAMSON, JB",ECONOMIC-DEVELOPMENT AND INCOME-DISTRIBUTION - A CROSS-NATIONAL ANALYSIS,AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,47,3,10.1111/j.1536-7150.1988.tb02040.x,4,0.12121212121212122
1987,"Cook, R",Current knowledge and future trends in maternal and child health in the Middle East.,Journal of tropical pediatrics,33 Suppl 4,NA,NA,4,0.11764705882352941
1995,"FREY, RS; ALMANSOUR, I","THE EFFECTS OF DEVELOPMENT, DEPENDENCE, AND POPULATION PRESSURE ON DEMOCRACY - THE CROSS-NATIONAL EVIDENCE",SOCIOLOGICAL SPECTRUM,15,2,10.1080/02732173.1995.9982095,3,0.11538461538461539
1985,"Preston, S H",Mortality and development revisited.,Population bulletin of the United Nations,NA,18,NA,4,0.1111111111111111
2012,김두래,"Political Systems, Government Quality, and Government Performance: An Empirical Test for the Consensus System Hypothesis",Journal of Governmental Studies(JGS),18,1,NA,1,0.1111111111111111
1993,"RAJHI, T",ENDOGENOUS GROWTH AND PUBLIC SPENDING EXTERNALITIES,REVUE ECONOMIQUE,44,2,NA,3,0.10714285714285714
1983,"KOUTRELAKOS, J; ZARNARI, O",OPINIONS ABOUT MENTAL-ILLNESS - A COMPARISON OF AMERICAN AND GREEK SOCIAL-WORK STUDENTS IN 1969 AND 1979,PSYCHOLOGICAL REPORTS,53,1,10.2466/pr0.1983.53.1.71,4,0.10526315789473684
1983,"Lee, R","Economic consequences of population size, structure and growth.",Newsletter. International Union for the Scientific Study of Population,NA,17,NA,4,0.10526315789473684
1992,"LYMAN, B",URBAN PRIMACY AND WORLD-SYSTEM POSITION,URBAN AFFAIRS REVIEW,28,1,10.1177/004208169202800102,3,0.10344827586206896
1992,"ADAMCHAK, DJ; NTSEANE, PG","GENDER, EDUCATION, AND FERTILITY - A CROSS-NATIONAL ANALYSIS OF SUB-SAHARAN AFRICAN NATIONS",SOCIOLOGICAL SPECTRUM,12,2,10.1080/02732173.1992.9981994,3,0.10344827586206896
1991,"Tsai, S P; Wen, C P; Guo, J P; Tsai, S F","Mortality trend in a rapidly developing economy in Taiwan. Part II: Life expectancy and ""potential years of life lost"".",Asia-Pacific journal of public health,5,1,NA,3,0.1
2001,"Hoeffler, A","Openness, investment and growth",JOURNAL OF AFRICAN ECONOMIES,10,4,10.1093/jae/10.4.470,2,0.1
1980,"MCCLENDON, MJ",OCCUPATIONAL-MOBILITY AND ECONOMIC-DEVELOPMENT - A CROSS-NATIONAL ANALYSIS,SOCIOLOGICAL FOCUS,13,4,10.1080/00380237.1980.10570370,4,0.0975609756097561
1990,"MENARD, S","CROSS-NATIONAL MODELS OF FERTILITY, FAMILY-PLANNING, AND DEVELOPMENT - TESTING FOR RECIPROCAL EFFECTS",STUDIES IN COMPARATIVE INTERNATIONAL DEVELOPMENT,25,2,10.1007/BF02687166,3,0.0967741935483871
2010,"Czegledi, P.",INDIVIDUAL RIGHTS AS A FACTOR OF ECONOMIC CONVERGENCE,ACTA OECONOMICA,60,4,10.1556/AOecon.60.2010.4.2,1,0.09090909090909091
1984,"Leeuw, F; Van De Vall, M",National population policies in industrial countries:  praxis or paradox?,Comparative social research,7,NA,NA,3,0.08108108108108109
1996,"Nakanishi, T",Comparative study of informal labor markets in the urbanization process: The Philippines and Thailand,DEVELOPING ECONOMIES,34,4,10.1111/j.1746-1049.1996.tb01181.x,2,0.08
1982,"Williamson, N E",Sex preference and its effect on family size and child welfare.,Draper Fund report,NA,11,NA,3,0.07692307692307693
1995,"Exner-Freisfeld, H","[Reappearance of tuberculosis, risks and consequences!].",Gesundheitswesen (Bundesverband der Arzte des Offentlichen Gesundheitsdienstes (Germany)),57,12,NA,2,0.07692307692307693
1995,"OAKES, AS; PETERSON, TS; GREENWOOD, JC",A CROSS-NATIONAL-STUDY OF WOMEN IN PROFESSIONAL AND MANAGERIAL OCCUPATIONS,SOCIOLOGICAL SPECTRUM,15,3,10.1080/02732173.1995.9982102,2,0.07692307692307693
